Date,Close,Open,High,Low,Volume,RSI,MACD,MACD Signal,Upper Bollinger Band,Middle Bollinger Band,Lower Bollinger Band,ADX,Stochastic SlowK,Stochastic SlowD
1996-01-31,12.027833938598633,18.776063919067383,19.129884719848633,18.21466827392578,56831282,,,,,,,,,
1996-02-29,14.701369285583496,23.682373046875,23.77200698852539,22.36144256591797,71030227,,,,,,,,,
1996-03-31,14.40158748626709,22.314266204833984,22.408620834350586,22.031211853027344,21249133,,,,,,,,,
1996-04-30,18.277292251586914,29.107616424560547,29.107616424560547,27.95652198791504,102988185,,,,,,,,,
1996-05-31,16.977237701416016,26.041175842285156,26.357254028320312,25.663766860961914,146149924,,,,,,,,,
1996-06-30,18.544837951660156,28.53207015991211,28.678316116333008,28.093332290649414,155968997,,,,,,,,,
1996-07-31,18.13279914855957,26.800708770751953,27.65459442138672,26.277055740356445,172029586,,,,,,,,,
1996-08-31,16.887393951416016,25.531673431396484,25.781707763671875,25.385427474975586,67175516,,,,,,,,,
1996-09-30,15.666765213012695,23.80974769592285,24.19187355041504,23.427621841430664,229456510,,,,,,,,,
1996-10-31,14.21998119354248,21.521709442138672,21.776460647583008,21.18204116821289,114165469,,,,,,,,,
1996-11-30,13.60037899017334,20.521577835083008,21.13486671447754,20.521577835083008,134994898,,,,,,,,,
1996-12-31,14.480213165283203,22.403902053833008,22.545429229736328,21.960447311401367,65269358,,,,,,,,,
1997-01-31,16.946258544921875,26.84316635131836,26.84316635131836,25.569414138793945,195009470,,,,,,,,,
1997-02-28,19.1954288482666,28.697185516357422,29.805822372436523,28.116920471191406,62950384,,,,,,,,,
1997-03-31,17.29323387145996,27.201705932617188,27.201705932617188,26.324230194091797,641215,61.881283315944145,,,,,,,,
1997-04-30,19.89558219909668,30.754060745239258,30.89558982849121,30.206819534301758,137540151,66.16112767972999,,,,,,,,
1997-05-31,19.046722412109375,28.777385711669922,29.2491455078125,28.697185516357422,86481396,63.65069782479683,,,,,,,,
1997-06-30,21.302486419677734,32.079708099365234,32.19764709472656,31.763629913330078,61521693,67.21121364752423,,,,,,,,
1997-07-31,20.3896541595459,30.070009231567383,30.754060745239258,29.937915802001953,94128816,64.4596061121104,,,,,,,,
1997-08-31,17.79546356201172,28.574527740478516,28.574527740478516,26.729944229125977,132746935,57.28231005997089,,,21.838845169606266,16.989126014709473,12.139406859812679,,-16.33755127078199,-4.027334203944741
1997-09-30,17.315519332885742,26.22987937927246,26.267620086669922,25.975128173828125,28416436,56.039118410864205,,,21.535869729848436,17.25351028442383,12.971150838999224,,-25.591853978222815,-13.530518640633941
1997-10-31,16.46229362487793,24.757986068725586,24.757986068725586,24.757986068725586,0,53.803558057825384,,,21.480410678501617,17.34155650138855,13.202702324275482,,-33.852664484566546,-25.26068991119045
