Epoch,Train_Loss,Window
0,0.014571966604715266,1
1,0.003561696134540052,1
2,0.003985830247100048,1
3,0.001708660512529185,1
4,0.0022492422243857463,1
5,0.00276517922336144,1
6,0.0014941072549517222,1
7,0.0017065334957240936,1
8,0.001723242969079006,1
9,0.0012221629413947854,1
10,0.001407348880833457,1
11,0.0011235050690368677,1
12,0.0009407242089576267,1
13,0.0006062933791761317,1
14,0.000769238917398589,1
15,0.0009003064150782539,1
16,0.0005846620650760998,1
17,0.000538899194969438,1
18,0.0004775488280980217,1
19,0.0002999152692067576,1
20,0.0005576719540950469,1
21,0.0006265361519987771,1
22,0.0005237814858996239,1
23,0.00050381152391052,1
24,0.0005060835603137072,1
25,0.000809080883647513,1
26,0.0005241647400100153,1
27,0.00034446547936513246,1
28,0.00036096654495944356,1
29,0.0006810768969026544,1
30,0.0006008001966753851,1
31,0.0003557039777791584,1
32,0.0006545609694360728,1
33,0.00034008302582458447,1
34,0.0003344903622811482,1
35,0.0002763906424669812,1
36,0.0003649395561922776,1
37,0.00033553221108853704,1
38,0.0001770911453603901,1
39,0.0003203017991275118,1
40,0.0006051098625195695,1
41,0.0004756831997413258,1
42,0.0003858937008804744,1
43,0.00025979337658203777,1
44,0.0005508313292677228,1
45,0.0003089991696411689,1
46,0.00039461531020398865,1
47,0.00033567922069144713,1
48,0.0002838774491369946,1
49,0.0003097094262583345,1
0,0.007658760698142961,2
1,0.004252667235507344,2
2,0.002571130323686706,2
3,0.002429110626518485,2
4,0.0018616779168108971,2
5,0.0035097355119672975,2
6,0.001452911512768762,2
7,0.0020764858752992687,2
8,0.0026156829444412477,2
9,0.0012180413640303458,2
10,0.001306599278750692,2
11,0.0017436904351927187,2
12,0.0010893445852718303,2
13,0.0006257385255222071,2
14,0.0012378959757855035,2
15,0.0005641115392488496,2
16,0.0004772703385519257,2
17,0.0004865938354544623,2
18,0.00044193098322585484,2
19,0.0007200550023812891,2
20,0.00035878771229299727,2
21,0.00042708594720760186,2
22,0.00030894827204579954,2
23,0.0008153878669538667,2
24,0.002253045485468719,2
25,0.0005974000823213939,2
26,0.0007239879385534311,2
27,0.00028785601210441953,2
28,0.0015380857632173572,2
29,0.0005040681340285671,2
30,0.0005494109440770672,2
31,0.0003462960299425616,2
32,0.0004998096829156665,2
33,0.0004694580044027714,2
34,0.0005784104097351091,2
35,0.0001762049732429957,2
36,0.0005234890597579882,2
37,0.0004501047297618258,2
38,0.0003331029708249165,2
39,0.0005142307797423576,2
40,0.00029259392566142745,2
41,0.0003214184760490406,2
42,0.0001551449014600168,2
43,0.00028970887825024375,2
44,0.00031091967654510634,2
45,0.00017857794326550818,2
46,0.0005722961894687775,2
47,0.000347185264653874,2
48,0.0004139663187650428,2
49,0.00023344520447004627,2
0,0.009170189908066931,3
1,0.0034186279003421104,3
2,0.00394502349474839,3
3,0.0022690089809016757,3
4,0.0016166890960775877,3
5,0.0020274633969911185,3
6,0.0025034267175084502,3
7,0.0012836382480088952,3
8,0.0020804766059508437,3
9,0.0007681764105710829,3
10,0.0014293859833302042,3
11,0.0007559545749473464,3
12,0.0011558647089939154,3
13,0.0009635781315595141,3
14,0.0008660760739511601,3
15,0.0005819712803463915,3
16,0.001314702166927974,3
17,0.000724755789766361,3
18,0.0010313573857636841,3
19,0.0005811645260096908,3
20,0.0007519191096285989,3
21,0.0008353859810674304,3
22,0.0005236940621980634,3
23,0.0004381192069691318,3
24,0.0007556929664041707,3
25,0.000546920045868035,3
26,0.0015957680380283277,3
27,0.00032349899860241617,3
28,0.0005459685280247177,3
29,0.00044895130273566553,3
30,0.00046197487260666133,3
31,0.000590369209873178,3
32,0.00036385989286237763,3
33,0.00039394849359685705,3
34,0.00020108923596516936,3
35,0.00036114838302796627,3
36,0.00037005458002591774,3
37,0.00026238122975392694,3
38,0.0005373313980710405,3
39,0.0002709403430505611,3
40,0.00017605649297289922,3
41,0.0003295800605436801,3
42,0.00024869577516304454,3
43,0.00037282202478037705,3
44,0.00026358414812561147,3
45,0.00035499094005216785,3
46,0.0003628538695537645,3
47,0.000192980613517669,3
48,0.00031788201307204065,3
49,0.0004084010558116605,3
0,0.011822091898292903,4
1,0.0039968492210513615,4
2,0.0029582747711604466,4
3,0.0018746196334745427,4
4,0.00216320586661343,4
5,0.0013688950494619087,4
6,0.0013263317345426533,4
7,0.001177963281416072,4
8,0.0006185115862328754,4
9,0.0023057516130446437,4
10,0.0013313135150719241,4
11,0.0006534036916581073,4
12,0.0006947761679606188,4
13,0.0006431219569214989,4
14,0.00043776278822179053,4
15,0.0006902864007074254,4
