Epoch,Train_Loss,Window
0,0.009753524583936659,1
1,0.003583105064571057,1
2,0.004473993215871543,1
3,0.003427367063577578,1
4,0.0018351466937647717,1
5,0.0007915172029858944,1
6,0.0007949694931349361,1
7,0.0007513165071924476,1
8,0.0007360767802209685,1
9,0.0013517429972456849,1
10,0.001136796821707183,1
11,0.0006736769713016828,1
12,0.0005669769240757662,1
13,0.0017595543338559724,1
14,0.00032284995824575645,1
15,0.0006319806868127939,1
16,0.0006572024232515565,1
17,0.0005121487039510054,1
18,0.0009624660279085361,1
19,0.0005734282456440854,1
20,0.0008660640697601695,1
21,0.0008173317753557311,1
22,0.0004811414013317291,1
23,0.000337054180887108,1
24,0.0008635610320414067,1
25,0.00034026044580373,1
26,0.0003098136625978671,1
27,0.00035581480329099143,1
28,0.0006194507362563541,1
29,0.0005000721280141818,1
30,0.0003810458582463412,1
31,0.000697438821639754,1
32,0.000542242532355022,1
33,0.0004161851491863189,1
34,0.0003154668876331231,1
35,0.0003796284207646908,1
36,0.0005006865747106858,1
37,0.0002944843805448132,1
38,0.0009285820301481903,1
39,0.0002935962201491367,1
40,0.00046650986750108555,1
41,0.0006042970441157719,1
42,0.00023342986799516097,1
43,6.746063576777348e-05,1
44,0.0004283640933849064,1
45,0.0003440109366469247,1
46,0.00010832179043582916,1
47,0.0002686929713931565,1
48,0.00048338349928403376,1
49,0.00033180419829319414,1
0,0.00975339364066746,2
1,0.005070641344341448,2
2,0.003929769807651603,2
3,0.002379520111487134,2
4,0.0017692749500190746,2
5,0.001476091522979944,2
6,0.0013648764568087526,2
7,0.0019331397329761053,2
8,0.0013427922958123117,2
9,0.0009645535562051123,2
10,0.001274994731945078,2
11,0.0007140818845717815,2
12,0.0009996172661325487,2
13,0.0007342381023670286,2
14,0.0014876496656584806,2
15,0.0005555388951582061,2
16,0.0005620963419287753,2
17,0.0003369298985429893,2
18,0.00047005935482208425,2
19,0.0004915864354497838,2
20,0.0007436273857744485,2
21,0.00038723259719423313,2
22,0.00026300658196469793,2
23,0.0004152120966566149,2
24,0.0004927387080413252,2
25,0.0005733534197428572,2
26,0.0009816261352562183,2
27,0.0007531363422667014,2
28,0.0005281226672759733,2
29,0.0003562297128417343,2
30,0.00016253831529989347,2
31,0.0004181582312212112,2
32,0.0003740875461624912,2
33,0.0003300355681270551,2
34,0.0003336360166582904,2
35,0.0002801482451028544,2
36,0.0002720469468427452,2
37,0.0004632918818875892,2
38,0.00045796770021329543,2
39,0.0004205795091719104,2
40,0.00020469013076621813,2
41,0.00022260843951601273,2
42,0.0002665317078925314,2
43,0.00023012092560348231,2
44,0.0003086838361206055,2
45,0.0004603647525038481,2
46,0.0003497616537682823,2
47,0.0002145333845343059,2
48,0.0003665842141500604,2
49,0.0002846771218268178,2
0,0.011137824542686997,3
1,0.005287840418253501,3
2,0.003571940978929861,3
3,0.0034545383381147663,3
4,0.0014177396722206627,3
5,0.0015873610634106377,3
6,0.0010738034526186788,3
7,0.0014490056749935417,3
8,0.0010086742770294027,3
9,0.0007852042789327239,3
10,0.0013510220636237134,3
11,0.0005052129351118819,3
12,0.0010671792657026816,3
13,0.0016336266514676416,3
14,0.00047028717181178605,3
15,0.0004091575393576411,3
16,0.0006276304578055434,3
17,0.00046176018044223523,3
18,0.0006521966099210271,3
19,0.0008620791804236711,3
20,0.0009335634766069553,3
21,0.0014948797561531617,3
22,0.00030532866439751156,3
23,0.0004101446893039663,3
24,0.0002732771840289818,3
25,0.00047664778299633267,3
26,0.0003321564350604365,3
27,0.0010613688358892487,3
28,0.00018089460837290605,3
29,0.0005233600686969893,3
30,0.00016557514683646497,3
31,0.000601926815010027,3
32,0.0003346035891321226,3
33,0.00043242111623887426,3
34,0.0003168237746855103,3
35,0.00027162521674053156,3
36,0.00028406923578618053,3
37,0.00065250788369899,3
38,0.0001865822619113443,3
39,0.00027572050996909714,3
40,0.00054538488188333,3
41,0.0002105676300625301,3
42,0.00047287833102732435,3
43,0.00013042584674163448,3
44,0.00030101669631936185,3
45,0.00022755141650010385,3
46,0.00015088920161817425,3
47,0.0005699362834254453,3
48,0.00016550626843916017,3
49,0.00021432663203270046,3
