Epoch,Train_Loss,Window
0,0.011143574159878603,1
1,0.00547224454787962,1
2,0.0031261026922398635,1
3,0.0030966005105901788,1
4,0.003337680597586348,1
5,0.0016343910243103983,1
6,0.002357329092434683,1
7,0.0022003325834817613,1
8,0.0033868389552358267,1
9,0.0017686292550873094,1
10,0.0016027452558973938,1
11,0.0021418560059487863,1
12,0.0013387256789341156,1
13,0.0020233575395516464,1
14,0.001193236868609289,1
15,0.0014999571902952354,1
16,0.0007691910930059128,1
17,0.0016706843437772538,1
18,0.0014219925217218213,1
19,0.0017527246109674778,1
20,0.0007907487932149598,1
21,0.0010409296297186077,1
22,0.0009748842810181691,1
23,0.001378657130858799,1
24,0.0005719976291548,1
25,0.0008671454024700981,1
26,0.0006392217506599436,1
27,0.0008548136175509408,1
28,0.0009434698396784347,1
29,0.000682454243936335,1
30,0.000938267854152134,1
31,0.0005804488229496809,1
32,0.0009427431930138701,1
33,0.0009865048620101241,1
34,0.001152109804931899,1
35,0.0012477150677780342,1
36,0.00083779112120513,1
37,0.0005437577584113037,1
38,0.0008954804697042047,1
39,0.0006750968760351838,1
40,0.0006511436993214866,1
41,0.0005302656373903967,1
42,0.00048086920630833384,1
43,0.0006444741171042148,1
44,0.0005950373960623776,1
45,0.001679215302146234,1
46,0.0007433892662828634,1
47,0.000818231057577017,1
48,0.0011815927921824227,1
49,0.0014028700384172222,1
0,0.009290700593812904,2
1,0.005091904459603679,2
2,0.0041712984264325025,2
3,0.003999513446189678,2
4,0.0030440252446202938,2
5,0.0017648091730730292,2
6,0.002681223050119036,2
7,0.0026022649229784883,2
8,0.0011676276020679943,2
9,0.006801431397155788,2
10,0.0015267323598557893,2
11,0.0011494010336608553,2
12,0.0012811769507983827,2
13,0.0014797309718755983,2
14,0.005502239620562357,2
15,0.0012748031885634913,2
16,0.0013527495790684398,2
17,0.002357150471361661,2
18,0.0015065384115802289,2
19,0.0007060753861918645,2
20,0.0008777841581449581,2
21,0.0007854871099713848,2
22,0.0007402815299748272,2
23,0.0011421781215616906,2
24,0.000559659297336215,2
25,0.0004780690609802512,2
26,0.0008163149911833863,2
27,0.0010924833020867146,2
28,0.0018232343873664009,2
29,0.002205817991814133,2
30,0.0005475378264877853,2
31,0.0015053240915692012,2
32,0.0008865018418970003,2
33,0.001291245751666822,2
34,0.0015515933756607705,2
35,0.000817043819741672,2
36,0.00042744973189225047,2
37,0.0009608389254954851,2
38,0.0006321522288738815,2
39,0.0004077120083427917,2
40,0.0007546900736511717,2
41,0.0008307276512548172,2
42,0.0006279955333073646,2
43,0.0007960915604611147,2
44,0.0012107943650839928,2
45,0.0004780872331781177,2
46,0.0005845676244914924,2
47,0.0010443684298630188,2
48,0.0008332910596117668,2
49,0.0008482468595286324,2
0,0.011999113414159353,3
1,0.006655001319360023,3
2,0.004038565340670474,3
3,0.004097626535842949,3
4,0.0025877256780930313,3
5,0.0020466758778393502,3
6,0.002142398035766055,3
7,0.005227947233470563,3
8,0.0024335199556321015,3
9,0.002239763161575093,3
10,0.0019711408512161997,3
11,0.0011010814840237226,3
12,0.000990637281339098,3
13,0.002458247286507997,3
14,0.0008211552267949194,3
15,0.0010461744363189603,3
16,0.0008896499104547625,3
17,0.0017030901464533629,3
18,0.0024911439640270426,3
19,0.0019560036021860844,3
20,0.0013691811083318495,3
21,0.0006394916704023848,3
22,0.0007149260330670816,3
23,0.0007578445299150416,3
24,0.00083005541956575,3
25,0.0012630017057368961,3
26,0.0007820284725065089,3
27,0.001196434893408626,3
28,0.0009737212714980369,3
29,0.0012031208792913444,3
30,0.0008026168837934048,3
31,0.0006437830887091279,3
32,0.0015319656893509827,3
33,0.0010947721910359108,3
34,0.0003364283599397644,3
35,0.0006254435343898365,3
36,0.0012520627773966368,3
37,0.0004840562824238247,3
