Epoch,Train_Loss
0,0.4059765338897705
1,0.492200642824173
2,0.3763877749443054
3,0.2542493939399719
4,0.3007792830467224
5,0.30647024512290955
6,0.26051607728004456
7,0.24518020451068878
8,0.2688756585121155
9,0.25735777616500854
10,0.23897726833820343
11,0.22276343405246735
12,0.23614196479320526
13,0.21897928416728973
14,0.20616459846496582
15,0.18917541205883026
16,0.20191656053066254
17,0.19328580796718597
18,0.19324707984924316
19,0.1715240329504013
20,0.17060835659503937
21,0.18147115409374237
22,0.17497102916240692
23,0.16273656487464905
24,0.1584475040435791
25,0.15801015496253967
26,0.16052019596099854
27,0.14885103702545166
28,0.1427161693572998
29,0.1501064896583557
30,0.14137329161167145
31,0.13966333866119385
32,0.1354241669178009
33,0.1353091299533844
34,0.13448013365268707
35,0.12882019579410553
36,0.12914898991584778
37,0.12923884391784668
38,0.12176486104726791
39,0.11701302230358124
40,0.11752978712320328
41,0.11730761080980301
42,0.11289717257022858
43,0.10929136723279953
44,0.1134055107831955
45,0.10658522695302963
46,0.1059737503528595
47,0.10242361575365067
48,0.10074097663164139
49,0.1029304638504982
50,0.09788665920495987
51,0.09672877192497253
52,0.09679460525512695
53,0.09270194172859192
54,0.09190018475055695
55,0.09121504426002502
56,0.09046417474746704
57,0.08697961270809174
58,0.08659666031599045
59,0.08365612477064133
60,0.083515465259552
61,0.0799940899014473
62,0.07946654409170151
63,0.0789395123720169
64,0.07688210159540176
65,0.07677402347326279
66,0.0765136182308197
67,0.07589279115200043
68,0.07377993315458298
69,0.06991256028413773
70,0.07263834029436111
71,0.06930053979158401
72,0.06988295167684555
73,0.06877424567937851
74,0.07115457952022552
75,0.06636399030685425
76,0.06842256337404251
77,0.06527058780193329
78,0.06933063268661499
79,0.06241367757320404
80,0.06491238623857498
81,0.06242320314049721
82,0.06219599023461342
83,0.0619925931096077
84,0.06247031316161156
85,0.05983566865324974
86,0.060236308723688126
87,0.05876632779836655
88,0.059610746800899506
89,0.05832107365131378
90,0.057733532041311264
91,0.05498189851641655
92,0.05490470305085182
93,0.05510963872075081
94,0.05405784398317337
95,0.05325082316994667
96,0.053094785660505295
97,0.05415384843945503
98,0.0538482666015625
99,0.05456692352890968
